Provincia,Municipalidad,Participacion electoral municipal (2024),Pobreza Multidimensional (2021),Bienestar de Ninez y Adolescencia (2020),Desiguadad de Genero (2020),Grado de Madurez Urbanismo 2023,Grado de Madurez Alcantarillado Pluvial 2023,Grado de Madurez Alcantarillado Pluvial 2023,Salud,Habilidades y competencias,Dinamismo de mercados,Seguridad,Capital social,Transformación digital,Trámites ágiles,Transparencia municipal,Administración presupuestaria,Infraestructura de transporte,Conectividad vial,Sector laboral,Aprovechamiento de residuos recolectados, Cobertura del servicio  de recolección de residuos ordinario, Cobertura del servicio de recolección de residuos selectivo,Inversión en el servicio de recolección de residuos,Tratamiento de residuos valorizables,Inversión per cápita en protección del medio ambiente,Hogares con acceso a agua potable,Hogares con acceso a agua por tubería,Hogares con acceso a eliminación de basura,Inversión en servicios sociales y complementarios,"Inversión en servicios educativos, culturales y deportivos",Cobertura del servicio de aseo de vías y sitios públicos,Inversión en el servicio de aseo de vías y sitios públicos,Brecha de género en empleo
ALAJUELA,ATENAS,0.5014,0.5228,0.8952,0.2126,0.3,Inicial,0.1,0.805669241,0.597416753,0.373392492,0.767159196,0.676151407,0.127272727,0.468844853,0.37586255,0.763349695,0.421177771,0.69025822,0.72393253,0.067197739,1,1,0.090911213,1,0.070356448,0.839112499,0.96643996,0.938789163,0.7007,0.9989,1,0.102519201,0.502607619
ALAJUELA,NARANJO,0.3802,0.5269,0.8221,0.4853,0.3,No brinda el servicio,,0.677320258,0.619527327,0.372502003,0.866852951,0.655987137,0.015151515,0.648011519,0.411514335,0.810430401,0.321841415,0.734631245,0.700299825,0.021195172,1,1,0.162,0,0.006374862,0.903775322,0.973987109,0.959714549,0.8791,0.5893,0.567484663,0.0627,0.531242989
ALAJUELA,PALMARES,0.4243,0.4254,0.8378,0.1840,0.7,Inicial,0.1,0.603591454,0.585231498,0.385565556,0.888915614,0.608216909,0.716666667,0.798011519,0.568297202,0.724181659,0.477141881,0.718734424,0.75420844,0.011671431,1,1,0,1,0.034750214,0.854863573,0.973870819,0.960767689,0.6473,0.2132,1,0,0.63791298
ALAJUELA,POAS,0.3601,0.5472,0.726,0.1611,0.3,Inicial,0.1,0.676250043,0.506602421,0.38330606,0.801489679,0.649491059,0,0.610511519,0.42873013,0.737551382,0.398442529,0.737917181,0.711828008,0.052636185,1,0.956257473,0,1,0.00940873,0.967801442,0.976354184,0.974341774,0.563,0.9253,1,0,0.548505713
ALAJUELA,OROTINA,0.3376,0.6309,0.5477,0.2501,0.3,No brinda el servicio,,0.584302254,0.503405743,0.348022747,0.602547666,0.601847605,0.465151515,0.777668382,0.47648929,0.720891276,0.227212034,0.6219416,0.720264321,0.027934911,0.8445,0.4417,0.047790682,1,0.019187272,0.962999385,0.970129072,0.93275968,0.6076,0.8852,0.372880854,0,0.640747009
ALAJUELA,SAN_CARLOS,0.3402,0.6030,0.6407,0.4443,0.5,No brinda el servicio,,0.536473863,0.50617925,0.530259494,0.820528496,0.590080019,0.606060606,0.939835893,0.498402085,0.828328949,0.509389721,0.705480722,0.64139413,0.094928422,0.522483654,0.505226171,0.041803419,1,0.081748447,0.913412821,0.955928516,0.697998128,0.8501,0.9229,1,0.12914643,0.296242408
ALAJUELA,ZARCERO,0.4496,0.4497,0.7834,0.1954,0.3,No brinda el servicio,,0.703739249,0.572644747,0.371285872,0.904452854,0.558670826,0.095454545,0.664678186,0.413308194,0.703348881,0.272844328,0.701556359,0.692060001,0.026458846,1,1,0.100319479,0,0.038727339,0.956521739,0.981794817,0.947740416,0.6847,0.3331,0.009260467,0.075535399,0.312057325
ALAJUELA,SARCHI,0.495,0.4457,0.7853,0.2036,0.7,No brinda el servicio,,0.707225877,0.588138444,0.387496168,0.876886805,0.53244058,0.372727273,0.661865607,0.389434402,0.77224539,0.328882286,0.734012874,0.705511339,0.035245976,0.087779949,0.087779949,0.101286854,0,0.092401619,0.954563007,0.975028961,0.970266444,0.5888,0.738,1,0.09985373,0.681473149
ALAJUELA,UPALA,0.3529,0.7363,0.3687,0.4818,0.3,No brinda el servicio,,0.532963915,0.429711952,0.334749258,0.784836566,0.498086904,0.298484848,0.674437375,0.341323671,0.677365915,0.098994425,0.646202664,0.573296318,0.026946108,0.640232937,0.640232937,0.028135776,1,0.048142714,0.926455239,0.916820554,0.302288238,0.624,0.796,1,0.096731636,0.221435071
ALAJUELA,LOS_CHILES,0.409,0.6149,0.2781,0.5122,0.3,Inicial,0.1,0.518152423,0.358608668,0.351398021,0.796061148,0.363792881,0.171212121,0.728991912,0.81505126,0.631511043,0.144968805,0.633548921,0.557559964,0.080718482,0.437746333,0.512373199,0,1,0.049554722,0.826628057,0.837717947,0.26695829,0.7887,0.1728,0.564568934,0,0.131477196
